Rank	Release	Lifetime_Gross	Max_Theaters	Opening_Gross	Open_Theaters	Release_Date	Distributor
1	Spider-Man	$403,706,375	3,876	$114,844,116	3,615	May 3, 2002	Sony Pictures Releasing
2	Spider-Man: Far from Home	$390,532,085	4,634	$92,579,212	4,634	Jul 2, 2019	Sony Pictures Releasing
3	Spider-Man 2	$373,585,825	4,166	$88,156,227	4,152	Jun 30, 2004	Sony Pictures Releasing
4	Spider-Man 3	$336,530,303	4,324	$151,116,516	4,252	May 4, 2007	Sony Pictures Releasing
5	Spider-Man: Homecoming	$334,201,140	4,348	$117,027,503	4,348	Jul 7, 2017	Sony Pictures Releasing
6	The Amazing Spider-Man	$262,030,663	4,318	$62,004,688	4,318	Jul 3, 2012	Sony Pictures Releasing
7	The Amazing Spider-Man 2	$202,853,933	4,324	$91,608,337	4,324	May 2, 2014	Sony Pictures Releasing
8	Spider-Man: Into the Spider-Verse	$190,241,310	3,813	$35,363,376	3,813	Dec 14, 2018	Sony Pictures Releasing
9	Spider-Man/Men in Black IIDouble Bill	$6,632,970	2,078	$2,111,862	2,078	Sep 6, 2002	Sony Pictures Releasing
-	Untitled Spider-Man Sequel	-	-	-	-	Jul 16, 2021	Sony Pictures Releasing