Franchise	No_of_Movies	Domestic_Box_Office	Infl_Adj_Dom_Box_Office	Worldwide_Box_Office	First_Year	Last_Year	No_of_Years
Marvel Cinematic Universe	30	$8,545,426,433	$9,102,945,801	$22,587,518,639	2008	2022	14
Star Wars	15	$5,079,119,579	$8,039,797,255	$10,324,020,963	1977	2026	49
James Bond	27	$2,136,666,623	$5,931,136,027	$7,119,674,009	1963	2020	57
Batman	22	$2,786,778,902	$3,949,355,696	$6,052,346,905	1989	2021	32
Harry Potter	12	$2,786,938,291	$3,638,704,111	$9,195,390,708	2001	2021	20
Spider-Man	10	$2,711,115,724	$3,292,639,145	$7,220,232,624	2002	2019	17
X-Men	14	$2,434,609,696	$2,878,961,702	$6,033,624,526	2000	2020	20
Avengers	4	$2,619,552,260	$2,746,635,625	$7,767,987,269	2012	2019	7
Jurassic Park	6	$1,882,766,527	$2,705,746,069	$5,009,038,251	1993	2021	28
Star Trek	13	$1,400,952,879	$2,594,747,188	$2,267,036,257	1979	2016	37
Peter Jackson's Lord of the Rings	7	$1,852,304,517	$2,520,333,945	$5,858,102,224	2001	2018	17
DC Extended Universe	23	$2,147,685,393	$2,227,584,552	$5,473,505,766	2013	2022	9
Indiana Jones	5	$919,839,275	$2,063,482,532	$1,961,339,569	1981	2022	41
Superman	9	$1,152,698,852	$2,050,758,403	$2,554,512,067	1978	2016	38
Fast and the Furious	11	$1,690,752,038	$1,993,550,748	$5,901,315,134	2001	2021	20
Shrek	8	$1,419,598,493	$1,952,505,259	$3,546,160,710	2001	2022	21
Rocky	8	$792,039,875	$1,942,429,850	$1,513,939,512	1976	2018	42
Pirates of the Caribbean	5	$1,451,769,807	$1,912,071,782	$4,517,852,068	2003	2017	14
Transformers	7	$1,582,401,601	$1,863,419,555	$4,846,579,018	1986	2018	32
Toy Story	5	$1,317,393,746	$1,787,870,306	$3,054,046,196	1995	2019	24
Jaws	4	$420,895,891	$1,714,929,704	$737,573,891	1975	1987	12
Hunger Games	4	$1,451,538,526	$1,622,424,771	$2,958,353,344	2012	2015	3
Twilight	6	$1,365,922,346	$1,610,862,622	$3,317,470,739	2008	2012	4
Mission: Impossible	8	$1,154,492,507	$1,593,972,703	$3,577,703,029	1996	2022	26
Dark Knight Trilogy	3	$1,190,225,564	$1,483,447,867	$2,448,599,772	2005	2012	7
Peter Pan	6	$355,579,537	$1,467,907,310	$708,714,979	1953	2009	56
Planet of the Apes	9	$793,882,111	$1,374,716,792	$2,115,119,208	1968	2017	49
The Lion King	4	$965,423,326	$1,371,188,452	$2,643,158,262	1994	2019	25
Despicable Me	6	$1,220,249,440	$1,334,741,729	$3,713,742,291	2010	2021	11
Lady and the Tramp	2	$93,600,000	$1,275,667,761	$93,600,000	1955	2001	46
Exorcist	5	$322,436,443	$1,274,216,475	$522,446,253	1973	2005	32
Billy Jack	3	$223,000,000	$1,247,956,316	$223,000,000	1967	1974	7
Iron Man	3	$1,040,029,729	$1,223,260,072	$2,421,720,208	2008	2013	5
Mary Poppins	2	$274,230,583	$1,173,785,575	$451,834,102	1964	2018	54
King Kong	6	$453,458,502	$1,111,360,749	$1,216,915,731	1933	2020	87
Alien	8	$591,630,347	$1,110,876,434	$1,648,542,927	1979	2017	38
Men in Black	5	$704,184,140	$1,087,370,156	$1,940,818,524	1997	2019	22
Terminator	6	$669,177,934	$1,079,869,666	$2,074,603,836	1984	2019	35
Finding Nemo	2	$866,824,931	$1,072,101,012	$1,965,000,259	2003	2016	13
Beverly Hills Cop	4	$431,012,375	$1,070,632,480	$712,145,974	1984	2011	27
Home Alone	5	$490,039,196	$1,059,275,216	$866,371,962	1990	2013	23
Lethal Weapon	4	$487,622,466	$1,059,196,096	$952,592,350	1987	1998	11
Bourne	5	$800,424,270	$1,050,357,628	$1,665,926,127	2002	2016	14
Ice Age	5	$793,676,582	$1,039,113,501	$3,179,639,301	2002	2016	14
Ghostbusters	4	$483,057,779	$1,014,646,830	$739,721,125	1984	2021	37
Cinderella	2	$85,000,000	$994,868,983	$263,591,415	1950	2007	57
The Incredibles	2	$870,022,836	$991,665,033	$1,874,246,451	2004	2018	14
Airport	4	$190,774,302	$990,713,247	$190,774,302	1970	1979	9
Back to the Future	3	$418,765,047	$984,628,869	$961,613,438	1985	1990	5
Jumanji	4	$849,844,012	$972,808,539	$2,081,508,133	1995	2019	24
Jack Ryan	5	$495,058,617	$957,998,127	$910,977,412	1990	2014	24
Matrix	3	$594,220,988	$943,073,177	$1,631,299,148	1999	2003	4
Teenage Mutant Ninja Turtles	6	$583,601,790	$926,554,360	$1,149,359,568	1990	2016	26
Frozen	3	$878,111,587	$925,846,206	$2,718,773,107	2013	2019	6
Jungle Book	2	$189,744,582	$925,674,588	$281,965,225	1967	2003	36
Captain America	3	$844,485,812	$922,359,159	$2,238,256,014	2011	2016	5
The Hobbit	3	$816,364,878	$918,336,838	$2,922,822,711	2012	2014	2
Avatar	5	$760,507,625	$899,243,135	$2,788,701,337	2009	2027	18
Pink Panther	11	$267,433,670	$898,966,099	$378,233,670	1964	2009	45
Die Hard	5	$500,565,220	$897,077,962	$1,431,562,382	1988	2013	25
Mummy	4	$550,464,904	$875,863,376	$1,423,076,742	1999	2008	9
Dirty Harry	5	$224,579,600	$857,982,853	$224,579,600	1971	1988	17
Meet the Parents	3	$593,831,215	$855,870,826	$1,157,643,189	2000	2010	10
Friday the 13th	12	$382,746,073	$847,682,323	$466,198,282	1980	2009	29
Madagascar	5	$673,512,794	$843,850,836	$2,270,104,142	2005	2019	14
National Lampoon	12	$269,614,312	$841,081,607	$287,550,376	1978	2009	31
Karate Kid	5	$430,055,661	$840,880,375	$612,338,981	1984	2010	26
Halloween	13	$467,782,306	$840,345,005	$618,690,596	1978	2020	42
The Sting	2	$165,963,399	$839,884,225	$165,963,399	1973	1983	10
Rush Hour	3	$507,477,118	$823,271,256	$849,311,714	1998	2007	9
Wizard of Oz	4	$280,075,700	$812,610,260	$535,905,826	1939	2013	74
Austin Powers	3	$473,041,863	$810,605,103	$676,406,139	1997	2002	5
Around the World in 80 Days	2	$66,004,159	$800,453,830	$114,004,159	1956	2004	48
Alvin and the Chipmunks	5	$655,935,962	$791,922,124	$1,404,694,725	2007	2015	8
Ocean's Eleven	4	$566,311,960	$772,548,980	$1,422,578,046	2001	2018	17
Muppets	8	$351,116,453	$768,453,425	$452,036,800	1979	2014	35
Guardians of the Galaxy	3	$722,985,213	$767,398,360	$1,641,885,213	2014	2019	5
Smokey and the Bandit	3	$199,870,054	$761,958,286	$199,870,054	1977	1983	6
Thor	3	$702,451,053	$759,105,391	$1,947,887,423	2011	2017	6
Hangover	3	$643,986,880	$754,908,304	$1,414,228,463	2009	2013	4
Saturday Night Fever	2	$203,327,598	$754,134,591	$408,441,474	1977	1983	6
Hannibal Lecter	5	$425,065,056	$752,161,620	$921,486,656	1986	2007	21
Monsters, Inc.	2	$557,911,754	$750,487,657	$1,303,346,048	2001	2013	12
Rambo	5	$338,917,404	$749,588,812	$817,962,398	1982	2019	37
Herbie	5	$193,352,588	$744,997,453	$271,452,588	1969	2005	36
Independence Day	2	$409,313,541	$739,670,562	$1,201,570,302	1996	2016	20
Cars	3	$588,434,972	$714,706,976	$1,405,347,998	2006	2017	11
Chronicles of Narnia	3	$537,719,397	$712,451,467	$1,556,067,810	2005	2010	5
Godfather	3	$258,786,940	$710,386,604	$392,320,529	1972	1990	18
Scary Movie	5	$461,023,680	$708,319,180	$830,913,702	2000	2013	13
Crocodile Dundee	3	$309,699,835	$707,025,906	$607,202,827	1986	2001	15
Deadpool	3	$687,662,444	$706,970,247	$1,571,706,150	2016	2018	2
The Conjuring	8	$672,572,612	$705,873,804	$1,905,364,983	2013	2020	7
Nightmare on Elm Street	9	$361,659,872	$701,256,107	$448,268,230	1984	2010	26
Grease	2	$196,110,853	$695,826,100	$401,807,262	1978	1982	4
Fantasia	2	$152,930,858	$693,182,606	$152,938,634	1940	1999	59
Hulk	3	$582,042,436	$690,649,707	$1,364,607,582	2003	2017	14
Night at the Museum	3	$541,853,610	$680,500,848	$1,335,434,091	2006	2014	8
Santa Clause	3	$368,559,333	$658,150,147	$470,125,976	1994	2006	12
Butch Cassidy and the Sundance Kid	2	$102,308,900	$656,362,026	$102,310,653	1969	1979	10
Madea	10	$555,578,144	$650,958,913	$558,593,220	2005	2019	14
Every Which Way But Loose	2	$174,956,071	$639,631,503	$174,956,071	1978	1980	2
American Pie	8	$408,010,808	$638,714,672	$884,447,474	1999	2012	13
Lego	11	$598,623,165	$631,950,889	$1,091,612,973	2014	2020	6
Godzilla	9	$462,370,508	$624,983,253	$1,376,960,447	1954	2020	66
American Graffiti	2	$123,100,000	$621,291,451	$148,100,000	1973	1979	6
Kung Fu Panda	4	$524,212,273	$614,343,691	$1,817,918,903	2008	2016	8
How to Train Your Dragon	3	$555,383,661	$609,392,479	$1,631,693,485	2010	2019	9
Police Academy	7	$239,379,689	$604,488,148	$239,379,689	1984	1994	10
Scream	4	$331,728,968	$602,539,709	$603,237,630	1996	2011	15
National Lampoon's Vacation	5	$277,474,199	$599,451,419	$320,896,511	1983	2015	32
Saw	8	$454,735,710	$597,979,789	$982,362,408	2004	2017	13
Wolverine	3	$538,717,077	$596,842,187	$1,406,744,006	2009	2017	8
Bad Boys	4	$408,606,138	$551,204,826	$832,855,737	1995	2020	25
Psycho	4	$78,481,606	$550,598,725	$78,481,606	1960	1993	33
The Secret Life of Pets	2	$527,258,725	$546,849,098	$1,321,045,927	2016	2019	3
Cheech & Chong	6	$160,716,246	$544,974,530	$160,716,246	1978	1984	6
It	2	$540,422,102	$544,186,173	$1,172,017,106	2017	2019	2
National Treasure	3	$392,966,503	$541,491,568	$788,649,214	2004	2007	3
Three Men and a Baby	2	$239,390,281	$536,488,739	$239,390,281	1987	1990	3
Spy Kids	4	$348,835,365	$529,085,195	$565,946,536	2001	2011	10
Hotel Transylvania	3	$485,513,250	$520,544,103	$1,375,067,108	2012	2018	6
Fugitive	2	$241,709,363	$516,953,254	$411,548,920	1993	1998	5
MonsterVerse	4	$479,229,019	$504,940,718	$1,473,448,043	2014	2020	6
Da Vinci Code	3	$385,255,558	$500,730,440	$1,478,215,672	2006	2016	10
Bruce Almighty	2	$342,994,685	$499,470,080	$658,599,937	2003	2007	4
Gremlins	2	$189,644,556	$491,267,809	$189,888,959	1984	1990	6
Porky's	3	$163,769,750	$489,564,896	$163,769,750	1982	1985	3
Predator	6	$313,156,619	$483,866,517	$741,185,941	1987	2018	31
Naked Gun	3	$216,014,096	$476,596,728	$216,014,096	1988	1994	6
Nutty Professor	2	$252,121,964	$473,907,776	$440,121,964	1996	2000	4
Alice in Wonderland	2	$411,233,491	$467,005,202	$1,302,419,222	2010	2016	6
Paranormal Activity	6	$401,360,355	$466,205,753	$890,417,130	2009	2015	6
Sherlock Holmes	3	$395,877,097	$464,114,152	$1,034,101,655	2009	2021	12
Doctor Dolittle	5	$257,107,326	$461,812,765	$470,258,326	1998	2009	11
Amityville	5	$169,327,766	$459,834,000	$220,971,236	1979	2017	38
Fantastic Four	3	$342,735,366	$455,182,152	$790,462,628	2005	2015	10
Jackass	6	$356,293,735	$451,665,364	$497,149,836	2002	2014	12
My Big Fat Greek Wedding	2	$301,127,813	$440,661,068	$466,986,592	2002	2016	14
Look Who's Talking	3	$196,875,385	$440,432,525	$353,886,572	1989	1993	4
Top Gun	2	$179,800,601	$433,527,354	$356,799,634	1986	2020	34
Sister Act	2	$196,924,179	$432,859,153	$288,919,029	1992	1993	1
Taken	3	$374,111,700	$432,629,828	$932,405,413	2008	2015	7
Honey I Shrunk the Kids	2	$189,386,624	$427,245,153	$281,362,452	1989	1992	3
Wonder Woman	2	$412,563,408	$419,002,525	$821,133,378	2017	2020	3
Wreck-It Ralph	2	$390,504,388	$417,608,161	$1,025,802,351	2012	2018	6
Unbreakable	3	$344,189,196	$411,510,170	$772,380,917	2000	2019	19
Ant-Man	3	$396,850,903	$411,386,778	$1,142,003,109	2015	2022	7
Dumb and Dumber	3	$239,598,230	$411,239,465	$429,246,448	1994	2014	20
Guns of Navarone	2	$36,000,000	$409,205,212	$36,019,576	1961	1978	17
Fantastic Beasts and Where to Find Them	3	$393,593,476	$405,612,520	$1,466,257,661	2016	2021	5
Pokemon	17	$293,126,288	$402,928,617	$1,096,127,032	1999	2019	20
300	2	$317,194,990	$397,723,733	$784,941,986	2007	2014	7
48 Hrs.	2	$155,983,678	$397,506,369	$228,683,678	1982	1990	8
Fifty Shades of Grey	3	$381,009,000	$396,198,793	$1,324,381,611	2015	2018	3
101 Dalmatians	2	$203,130,853	$392,047,647	$371,141,559	1996	2000	4
Ace Ventura	3	$180,577,459	$388,051,191	$319,617,396	1994	2009	15
Beauty and the Beast	2	$206,333,165	$387,837,197	$438,707,031	1991	2002	11
Maleficent	2	$355,336,933	$383,112,067	$1,247,917,175	2014	2019	5
Rugrats Movie	3	$216,398,695	$381,919,396	$299,622,530	1998	2003	5
Charlie's Angels	3	$243,921,179	$381,695,008	$560,117,832	2000	2019	19
Pitch Perfect	3	$354,194,853	$379,431,526	$589,406,227	2012	2017	5
The Divergent Series	3	$347,311,018	$378,698,746	$743,113,364	2014	2016	2
Texas Chainsaw Massacre	7	$194,821,820	$377,333,303	$246,541,552	1974	2013	39
Romancing the Stone	2	$143,354,024	$376,054,177	$183,354,024	1984	1985	1
Wayne's World	2	$169,662,323	$372,859,364	$231,062,323	1992	1993	1
21 Jump Street	2	$330,167,004	$372,227,138	$534,146,305	2012	2014	2
Omen	3	$93,041,885	$368,256,364	$93,048,431	1976	1981	5
Speed	2	$169,345,226	$366,188,730	$433,668,000	1994	1997	3
Final Destination	6	$263,362,372	$365,855,049	$657,627,377	2000	2011	11
City Slickers	2	$167,474,738	$365,392,972	$167,474,738	1991	1994	3
Mad Max	4	$223,217,405	$364,409,173	$530,593,920	1980	2015	35
Scooby-Doo	8	$237,479,551	$363,862,146	$457,151,160	2002	2020	18
Poltergeist	3	$129,816,684	$363,439,688	$176,816,684	1982	1988	6
Minions	2	$336,045,770	$363,152,668	$1,160,336,173	2015	2021	6
Airplane	2	$108,463,033	$359,188,096	$108,463,033	1980	1982	2
Father of the Bride	2	$165,904,691	$353,896,288	$165,904,691	1991	1995	4
Flintstones	2	$165,762,573	$351,002,597	$417,931,365	1994	2000	6
Resident Evil	7	$270,827,255	$349,560,547	$1,229,450,247	2002	2016	14
Man of Steel	1	$330,360,194	$347,928,482	$873,634,919	2016	2016	
Addams Family	2	$159,796,101	$347,683,241	$237,796,101	1991	1993	2
Stuart Little	3	$204,972,030	$346,690,124	$464,815,224	1999	2006	7
Odd Couple	2	$63,439,562	$346,387,098	$63,439,562	1968	1998	30
Blade	3	$204,216,153	$340,982,718	$416,929,454	1998	2004	6
Big Momma's House	3	$225,640,824	$339,842,000	$392,939,264	2000	2011	11
Ring	3	$232,828,769	$338,467,483	$493,077,496	2002	2017	15
Ted	2	$300,142,125	$338,305,517	$773,230,770	2012	2015	3
Grown Ups	2	$295,669,711	$336,831,883	$519,247,238	2010	2013	3
Terms of Endearment	2	$121,191,304	$327,852,201	$121,191,304	1983	1996	13
Cheaper by the Dozen	2	$221,185,717	$323,466,948	$325,227,443	2003	2005	2
Underworld	5	$252,766,892	$322,975,354	$539,817,686	2003	2016	13
G.I. Joe	4	$272,724,558	$319,736,886	$678,209,722	2000	2020	20
Blair Witch Project	3	$187,737,474	$318,568,145	$335,006,891	1999	2016	17
Oh, God!	3	$87,103,473	$316,111,899	$87,103,473	1977	1984	7
Princess Diaries	2	$203,394,209	$313,806,686	$287,406,209	2001	2004	3
John Wick	4	$306,082,706	$312,466,894	$573,290,843	2014	2020	6
Rio	2	$275,158,244	$311,663,321	$980,366,100	2011	2014	3
Lara Croft	2	$196,797,941	$310,270,230	$430,423,128	2001	2003	2
Benji	5	$79,063,152	$306,769,758	$79,063,152	1974	2004	30
xXx	4	$213,702,345	$306,337,133	$683,307,291	2002	2020	18
The Purge	4	$284,566,850	$304,775,560	$458,370,786	2013	2018	5
Grumpy Old Men	2	$141,691,124	$304,171,677	$141,691,124	1993	1995	2
Sex and the City	2	$247,994,950	$303,770,117	$709,928,036	2008	2010	2
Mamma Mia	2	$264,764,998	$303,507,481	$1,010,952,888	2008	2018	10
SpongeBob SquarePants	3	$248,410,641	$301,286,057	$453,064,436	2004	2020	16
Arthur	2	$96,145,678	$298,401,694	$96,145,678	1981	1988	7
Legally Blonde	3	$187,132,514	$292,245,748	$267,148,323	2001	2009	8
Mask	2	$136,938,551	$291,803,622	$411,538,551	1994	2005	11
Hancock	2	$227,946,274	$289,218,732	$624,234,272	2008	2020	12
The Smurfs	3	$258,652,224	$289,136,714	$1,109,875,432	2011	2017	6
Under Siege	2	$133,587,222	$288,235,800	$260,887,222	1992	1995	3
Cloudy with a Chance of Meatballs	2	$244,663,842	$285,861,069	$511,220,326	2009	2013	4
Clash of the Titans	2	$246,884,971	$284,210,264	$798,484,971	2010	2012	2
Tron	2	$198,981,339	$281,841,737	$426,981,339	1982	2010	28
French Connection	3	$53,944,428	$281,569,903	$54,856,531	1971	2008	37
Child's Play	8	$153,028,417	$280,019,631	$217,126,407	1988	2019	31
Insidious	4	$257,559,485	$279,883,925	$555,057,527	2011	2018	7
Annabelle	3	$260,518,605	$271,808,147	$790,764,898	2014	2019	5
Barbershop	3	$194,882,105	$271,153,839	$197,310,075	2002	2016	14
Step Up	5	$215,725,188	$270,191,631	$668,821,858	2006	2014	8
Basic Instinct	2	$123,673,360	$266,702,648	$388,117,162	1992	2006	14
Daddy’s Home	2	$254,386,580	$266,551,731	$418,564,320	2015	2017	2
Anchorman	2	$211,550,085	$266,097,343	$261,722,488	2004	2013	9
Cannonball Run	2	$85,598,710	$264,609,825	$85,598,710	1981	1984	3
Elf	2	$174,626,840	$261,854,770	$221,464,732	2003	2015	12
Shaft	5	$113,809,701	$260,740,299	$150,671,941	1971	2019	48
The Maze Runner	3	$242,157,497	$260,519,411	$924,764,559	2014	2018	4
Mighty Ducks	3	$119,292,816	$260,505,688	$119,292,816	1992	1996	4
The Expendables	4	$227,419,260	$260,164,810	$789,708,808	2010	2019	9
Paul Blart: Mall Cop	2	$217,427,772	$254,575,825	$293,555,396	2009	2015	6
Journey to the Center of the Earth	2	$205,564,660	$247,907,961	$561,327,099	2008	2012	4
Zorro	2	$139,404,081	$247,028,254	$375,175,336	1998	2005	7
RoboCop	3	$109,802,064	$246,627,268	$109,802,064	1987	1993	6
Fallen	3	$230,482,288	$245,732,123	$501,438,465	2013	2019	6
Ride Along	2	$225,065,250	$245,337,930	$278,561,116	2014	2016	2
Miss Congeniality	2	$155,285,673	$244,548,694	$314,803,347	2000	2005	5
Analyze This	2	$139,007,907	$241,969,116	$231,880,415	1999	2002	3
The Little Mermaid	2	$111,543,479	$241,772,713	$222,299,758	1989	2008	19
Beethoven	5	$109,616,418	$241,195,212	$109,616,418	1992	2014	22
Free Willy	3	$111,294,914	$240,948,259	$187,294,914	1993	1997	4
Kingsman	3	$228,496,562	$240,407,006	$813,365,420	2015	2020	5
Cocoon	2	$95,182,267	$238,039,518	$95,182,267	1985	1988	3
Grudge	4	$170,719,349	$237,554,880	$307,528,219	2004	2019	15
Bad News Bears	2	$56,349,782	$235,634,077	$56,349,782	1976	1978	2
Mulan	2	$120,620,254	$234,296,482	$303,500,000	1998	2005	7
Hot Shots	2	$106,886,158	$232,703,435	$309,716,011	1991	1993	2
Get Shorty	2	$127,870,409	$230,106,329	$209,965,025	1995	2005	10
Lilo and Stitch	2	$145,771,527	$228,567,741	$245,800,000	2002	2005	3
Snow White and the Huntsman	2	$203,139,770	$228,105,500	$566,171,048	2012	2016	4
Flint	2	$27,000,000	$227,825,157	$27,000,000	1965	1967	2
Eddie Felson	2	$59,893,000	$227,814,289	$59,893,000	1961	1986	25
World War Z	1	$202,359,711	$226,752,391	$531,514,650	2013	2013	
Neighbors	2	$205,427,530	$225,638,748	$379,702,049	2014	2016	2
Garry Marshall's Holiday Franchise	3	$197,523,151	$224,419,849	$416,786,623	2010	2016	6
Road To …	2	$7,700,000	$223,954,164	$7,700,000	1940	1947	7
